gender,description,link_color,profileimage,sidebar_color,text,cln_desc,cln_text,saved_image
male,BSc economics graduate  #COYS,0084B4,https://pbs.twimg.com/profile_images/588820454988709890/UtTyYkTY_normal.jpg,C0DEED,James Bond premier night at the @Everymancinema in Oxted with @SidiEdey. Let's hope it lives up to expectation! #SPECTRE,bsc economics graduate #coys,james bond premier night at the everymancinema in oxted with sidiedey let's hope it lives up to expectation spectre,../img/UtTyYkTY_normal.jpg
female,Wife to my Coach. Mom to my eight troops. Follower of Christ.,0084B4,https://pbs.twimg.com/profile_images/645403816213393408/cb9Ur4jH_normal.jpg,C0DEED,@SydnieJR except once the Hallmark movies start I won't get anything done!! _??__?_?_?_?,wife to my coach mom to my eight troops follower of christ.,@sydniejr except once the hallmark movies start i won't get anything done! _??__?_?_?_?,../img/cb9Ur4jH_normal.jpg
male,"Award Winning Author of the paranormal Romance thriller, Hath No Fury  technology writer,
http://t.co/LmMiOwenQQ #ASMSG",DD2E44,https://pbs.twimg.com/profile_images/3636528327/1830a46d522a2db8e1a5d22c2cf3b1cb_normal.jpeg,FFFFFF,All the #magic in Hath No FURY is based on REAL #Magick! https://t.co/jwpsVhAU1E,award winning author of the paranormal romance thriller hath no fury technology writer http://t.co/lmmiowenqq asmsg,all the magic in hath no fury is based on real magick https://t.co/jwpsvhau1e,../img/1830a46d522a2db8e1a5d22c2cf3b1cb_normal.jpeg
male,Militante y obrero de los Sue??os Revolucionarios desde toda la vida... ??Chavista de Coraz?_n!... ??Comandante vives x100pre!,09A7E0,https://pbs.twimg.com/profile_images/468090201420869632/sz7Xp_ZU_normal.jpeg,BDDCAD,How many followers do you get everyday? I got 1 in the last day. Growing daily with https://t.co/JzckR3ub8H,militante y obrero de los sue??os revolucionarios desde toda la vida.. ?chavista de coraz?_n!.. ?comandante vives x100pre!,how many followers do you get everyday i got 1 in the last day growing daily with https://t.co/jzckr3ub8h,../img/sz7Xp_ZU_normal.jpeg
male,Kennedy J Abulala ni mwalimu anayeienzi kazi yake.....mwalimu wa kiswahili.,0084B4,https://pbs.twimg.com/profile_images/621662235459391489/74hr0ed1_normal.jpg,C0DEED,@kbonimtetezi mheshimiwa travellers along that stretch of the road (lubao) r hurting and nobody seems to be raising this issue!,kennedy j abulala ni mwalimu anayeienzi kazi yake.....mwalimu wa kiswahili.,@kbonimtetezi mheshimiwa travellers along that stretch of the road lubao r hurting and nobody seems to be raising this issue!,../img/74hr0ed1_normal.jpg
male,"Home Office & Business are sweet business! I can do it , you can",0084B4,https://pbs.twimg.com/profile_images/508631838240157696/mNbhEHAR_normal.jpeg,C0DEED,"Gala Bingo clubs bought for ??241m: The UK's largest High Street bingo operator, Gala, is being taken over by??_ https://t.co/XprInke1m2",home office business are sweet business i can do it you can,gala bingo clubs bought for ?241m the uk's largest high street bingo operator gala is being taken over by??_ https://t.co/xprinke1m2,../img/mNbhEHAR_normal.jpeg
female,"GoodMorning Mentions Anyone !! 

 #RETWEEET 

Must Follow Back ???
 
#Fav for a Follow??????",0084B4,https://pbs.twimg.com/profile_images/464850935575887872/5x2iLmwY_normal.jpeg,C0DEED,"VIDEO: James Bond Spectre world premiere: After months of build up Spectre, the latest??_ https://t.co/uV38Wlg5bE #UK",goodmorning mentions anyone #retweeet must follow back ? fav for a follow??????,video james bond spectre world premiere after months of build up spectre the latest??_ https://t.co/uv38wlg5be uk,../img/5x2iLmwY_normal.jpeg
female,"This is control. 
Jpn version??? @Zoe_o_Jbot            Rayark-Implosion",0084B4,https://pbs.twimg.com/profile_images/607553110693666816/0NPWHIZh_normal.jpg,C0DEED,"Once it is complete, it will lift off and attempt to connect with the alpha point of the rift we are observing. (1-2)",this is control jpn version?? zoe_o_jbot rayark-implosion,once it is complete it will lift off and attempt to connect with the alpha point of the rift we are observing 1-2),../img/0NPWHIZh_normal.jpg
male,Apollo bot pulling from both AJ and DD. Randomly posts every hour. Spoilers abound. Under construction. Progress: 4-2 (75% complete).,0084B4,https://pbs.twimg.com/profile_images/602117524637888512/s48xMoEi_normal.png,C0DEED,"(Surgical enhancements are for a different part of the body, and, I was kidding...)",apollo bot pulling from both aj and dd randomly posts every hour spoilers abound under construction progress 4-2 75 complete).,(surgical enhancements are for a different part of the body and i was kidding...),../img/s48xMoEi_normal.png
female,A lie gets halfway around the world before the truth has a chance to get its pants on.,0084B4,https://pbs.twimg.com/profile_images/634770327914987520/3mQYlBPd_normal.jpg,C0DEED,"James Walter invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.",a lie gets halfway around the world before the truth has a chance to get its pants on.,james walter invented the bolt-action rifle liquor sexual intercourse and football- in that order.,../img/3mQYlBPd_normal.jpg
